# SBD,#Brands,#Key,#Oth,#Rand,#Raw,#SimBrs,#SimKey,AvgWL,Dom len,Domain,Label,MaxWL,MinWL,Path,Path len,Protocol,RandD,Sbd len,Subdomain,URL len
0,0,1,0,6,8,0,0,5.75,9,rajspaces,1,14,2,/upload/EserviceDLAcct/irs/ir/index.html,40,https,True,0,,61
0,0,0,0,2,3,14,15,5.333333333333333,15,promocao-sicoob,1,8,2,,0,http,True,0,,25
0,0,2,0,1,4,0,0,7.0,27,secure-fbpages-notification,1,12,3,/,1,https,True,0,,40
0,0,1,0,1,5,0,0,4.4,8,olcmeapp,1,8,3,/mko/image.htm,14,https,False,0,,34
0,1,1,0,4,6,0,0,5.666666666666667,3,esy,1,10,2,/security.page/,15,http,True,18,support-110048480a,47
0,1,1,0,3,6,12,12,8.0,23,lesaventuriersvoyageurs,1,23,2,/js/paypal-account-confirm,26,http,True,0,,60
0,1,0,0,4,6,0,0,7.666666666666667,22,restauracjagreenpepper,1,22,2,//payment/payment/index.php,27,http,True,0,,59
0,0,1,0,2,6,0,0,4.0,11,scs-network,1,7,3,/umpi/eba.html,14,http,False,0,,36
0,0,1,0,3,4,0,0,5.0,5,redux,1,6,4,/chase/update/,14,https,True,0,,32
0,0,0,0,4,7,0,0,5.285714285714286,10,cmfidouala,1,10,3,/jsdhkjhjdf/cgi-bin/image.htm,29,http,True,0,,50
0,0,1,0,2,5,0,0,4.4,8,olcmeapp,1,8,3,/lol/image.htm,14,https,False,0,,34
0,1,1,0,3,6,0,0,4.833333333333333,16,livewellprojects,1,16,1,/bay/T/Y1.html,14,http,True,0,,41
0,0,1,0,1,3,0,0,6.666666666666667,7,webnode,1,10,3,,0,http,False,10,attnethelp,29
0,0,1,0,1,3,0,0,5.666666666666667,7,tinyurl,1,7,3,/kvuukxs,8,https,True,0,,27
0,1,1,0,2,6,0,0,5.833333333333333,16,ridinghouseindia,1,16,1,/ywhl/Y%20index.html,20,http,True,0,,47
0,1,1,0,2,5,0,0,4.0,10,amethystia,1,10,1,/T/Y1.html,10,http,True,0,,31
0,0,1,0,2,5,0,0,9.6,32,paialowereasterncherokeenationsc,1,32,3,/aaaaa/login.htm,16,http,True,0,,59
0,1,1,0,5,8,0,0,5.625,3,esy,1,9,2,/recovery-chekpoint-login.html,30,http,True,15,cover-acct06437,59
0,0,1,0,3,6,0,0,8.666666666666666,31,aharsntenetsrelsioncustomizedia,1,31,3,/domain/indexx.htm,18,http,True,3,www,64
0,1,0,0,7,9,0,0,5.222222222222222,3,esy,1,9,2,/recovery-chekpoint-login.html,30,http,True,18,safety-acct-003342,62
0,0,1,0,2,5,0,0,5.0,11,dressesmela,1,11,3,//kmd/image.htm,15,http,True,0,,37
0,0,1,0,2,4,0,0,4.5,10,sicredisic,1,10,2,,0,http,True,3,www,28
3,0,0,0,4,5,0,0,3.2,13,31.220.111.56,1,6,2,/asdq12/,8,http,True,0,,28
0,1,1,0,3,8,0,0,4.5,8,kuswanto,1,9,2,/wp-includes/cs/Indexxatt.htm,29,http,True,0,,50
0,1,1,0,2,4,0,0,6.0,10,formcrafts,1,10,1,/a/valaccount,13,https,True,0,,35
0,2,1,0,6,10,0,0,5.0,13,000webhostapp,1,13,2,/sal/YAH%21%21./ya2/index.php,29,https,True,13,mattewfisher1,68
0,0,1,0,2,5,0,0,5.2,12,singandvoice,1,12,3,/10405.php,10,http,True,3,www,37
0,1,2,0,2,6,0,0,5.666666666666667,9,sententia,1,11,2,/PayPal/get_started/,20,http,True,3,www,47
3,0,0,0,6,6,0,0,3.0,14,149.56.201.163,1,4,2,/nis-card/,10,http,True,0,,31
0,0,0,0,4,8,0,0,4.5,19,web-designing-india,1,9,3,/dpbx/dpbx/index.php,20,http,True,0,,50
3,0,0,0,5,6,0,0,3.5,12,54.157.20.99,1,9,2,/principal.php,14,http,True,0,,33
0,1,2,0,6,11,0,0,6.454545454545454,3,sea,1,17,2,/images/filetypes/bankofamericam.com.8789373899383mins.rmsmrr/index,67,http,True,3,www,88
0,0,1,0,3,5,0,0,4.8,6,zogheb,1,7,3,/tooo/index_1.html,18,http,True,0,,35
0,0,2,0,1,3,0,0,9.333333333333334,18,fgtscontasinativas,1,18,4,/home,5,http,True,0,,37
0,0,1,0,2,4,0,0,9.0,22,consultasinvativasfgts,1,22,3,/processa.php,13,http,True,0,,46
0,0,1,0,2,4,0,0,7.25,17,extratofgtsonline,1,17,3,/1index.php,11,http,True,0,,39
0,2,1,0,11,17,0,0,9.529411764705882,6,websis,1,50,2,/sp/79900b0f5b721ddb89396e71eb7fad41/infos.html,47,http,True,41,store2.apple.ch.email-forwarding.webstore,185
0,0,1,0,7,12,0,0,5.333333333333333,16,citadelchurchjax,1,16,2,/wp-admin/data/owa/WebAdmin/Outlook%20Web%20App.htm,51,http,True,3,www,82
0,0,1,0,7,9,0,0,6.333333333333333,8,peloclub,1,14,3,/onlinepdffiles/Adobe/Adobe/property/adobe/index.html,53,http,True,0,,72
0,1,0,0,10,15,0,0,5.533333333333333,6,innovi,1,14,2,/tos/script/mail.htm,20,https,True,3,www,106
0,0,1,0,2,6,0,0,6.166666666666667,12,momsweetmoms,1,12,3,/demo2/Dropbox/Dropbox/,23,http,True,3,www,50
0,0,1,0,4,10,0,0,4.5,10,samanesang,1,10,2,/wp-content/themes/PDF/PDF/login.htm,36,http,True,3,www,61
0,3,0,0,6,9,0,0,5.333333333333333,6,websis,1,10,2,/de/,4,http,True,41,store2.apple.ch.email-forwarding.webstore,64
0,4,0,0,3,7,0,0,5.428571428571429,13,elecapponline,1,13,2,/ch-de/suisse/,14,http,True,13,suisscards-ch,52
0,2,0,0,7,9,0,0,5.333333333333333,6,websis,1,10,2,/sp/,4,http,True,41,store2.apple.ch.email-forwarding.webstore,64
0,0,1,0,6,8,9,27,4.375,10,asa-direct,1,7,2,/bitrix/updates/servi/fr/doss/,30,http,True,0,,50
0,1,1,0,6,10,0,0,7.3,9,uniba-bpn,1,16,2,/administrator/components/com_joomlaupdate/redire.html,54,http,False,12,pascasarjana,89
0,0,1,0,4,7,0,0,4.571428571428571,8,redllink,1,8,2,/.ars/empresas/login.htm,24,http,True,2,hb,46
0,0,1,0,6,9,0,0,4.333333333333333,8,redllink,1,8,2,/.ars/empresas/login.htm,24,http,True,2,hb,55
0,0,2,0,2,6,10,6,5.166666666666667,14,xenangdaiduong,1,14,2,/wp-config/Sign/,16,http,True,0,,44
0,1,2,0,9,14,0,0,6.214285714285714,13,tizianabeauty,1,13,2,/wp-content/plugins/Manage/ar4d65/checking/check/Support/ID-NUMB389/myaccount/signin/,85,http,True,0,,108
0,0,0,0,5,8,0,0,5.0,8,zemindar,1,9,2,/wp-content/languages/dpbx/index.php,36,http,True,0,,54
