Alexa Rank,Brand count,Domain,Known TLD,Label,Num Subdomains,Path,Protocol,URL Length
2,1,freberg.westnet.com,1,0,0,/list.html,http,0
2,1,www.rhino.com,1,0,0,/features/75645p.html,http,0
1,1,hitcomedy.com,1,0,0,/index.html,http,0
2,1,www.cyberonic.net,1,0,0,/~atrain/comedy/freberg.htm,http,0
1,1,www.povonline.com,1,0,0,/cols/col102.htm,http,0
2,1,freberg.westnet.com,1,0,0,/hear_it.html,http,0
2,1,www.epinions.com,1,0,0,/musc-album-musc-freberg__stan/tk_~mm032.1.2,http,2
1,1,citypaper.net,1,0,0,/articles/091699/mus.stan.shtml,http,0
2,1,www.crispinfreeman.com,1,0,0,/,http,0
2,1,www.reelradio.com,1,0,0,/gifts/frees.html,http,0
1,1,www.spookytoms.com,1,0,0,/paul_frees_tribute.html,http,0
2,1,www.hollowhill.com,1,0,0,/gm/library/frees.htm,http,0
0,1,www.dvdtalk.com,1,0,0,/dvdsavant/s74frees.html,http,0
0,1,us.imdb.com,1,0,0,/name/nm0293659/,http,0
2,1,www.voicechasers.com,1,0,0,/database/showactor.php,http,2
2,1,bakerstreetdozen.com,1,0,0,/frewernews.html,http,0
0,1,us.imdb.com,1,0,0,/name/nm0001242/,http,0
0,1,www.geocities.com,1,0,0,/enchantedforest/dell/8545/va.html,http,2
0,1,www.angelfire.com,1,0,0,/ut/rtoons/actors.html,http,0
0,1,www.geocities.com,1,0,0,/hollywood/lot/2636/voiceacting/,http,2
0,1,www.geocities.com,1,0,0,/philbass_2000/narrators.html,http,0
2,1,doreen.mkbmemorial.com,1,0,0,/,http,0
0,1,www.geocities.com,1,0,0,/televisioncity/taping/6785/index.html,http,2
0,1,www.behindthevoiceactors.com,1,0,0,,http,0
2,1,www.keyframeonline.com,1,0,0,/kf.php,http,0
2,1,www.voicechasers.com,1,0,0,/,http,0
0,1,us.imdb.com,1,0,0,/name/nm0304000/,http,0
1,1,www.taoslandandfilm.com,1,0,0,/bradentnwkly.html,http,0
0,1,us.imdb.com,1,0,0,/name/nm0004951/,http,0
2,1,kathygarver.com,1,0,0,/,http,0
0,1,us.imdb.com,1,0,0,/name/nm0308744/,http,0
1,1,www.dickgautier.com,1,0,0,/,http,0
1,1,www.dangilvezan.com,1,0,0,/,http,0
0,1,us.imdb.com,1,0,0,/name/nm0319737/,http,0
0,1,us.imdb.com,1,0,0,/name/nm0330015/,http,0
1,1,www.tv-now.com,1,0,0,/stars/gotfried.html,http,0
2,1,www.cdaccess.com,1,0,0,/html/pc/midmovie.htm,http,0
1,1,genetic_mishap.tripod.com,1,0,0,/landofthreenamedpeople/,http,2
0,1,www.angelfire.com,1,0,0,/celeb/starzbios/gottfried_g.html,http,2
0,1,us.imdb.com,1,0,0,/name/nm0331906/,http,0
0,1,www-tech.mit.edu,1,0,0,/v110/n37/gilber.37a.html,http,0
0,1,www-tech.mit.edu,1,0,0,/v110/n38/lsc.38a.html,http,0
2,1,www.octopusmediaink.com,1,0,0,/gilbertgottfried.html,http,0
1,1,citypaper.net,1,0,0,/articles/022996/article001.shtml,http,0
0,1,jam.canoe.ca,1,0,0,/movies/artists/g/gottfried_gilbert/1997/02/21/758674.html,http,1
2,1,www.voicechasers.com,1,0,0,/database/showactor.php,http,2
2,1,www.kylehebert.com,1,0,0,/,http,0
0,1,www.post-gazette.com,1,0,0,/magazine/19990223voicetalent1.asp,http,2
2,1,www.serkworks.com,1,0,0,/roommates/index.htm,http,0
2,1,www.armory.com,1,0,0,/~keeper/jesshirt.html,http,0
2,1,www.voicechasers.com,1,0,0,/database/showactor.php,http,2
1,1,docharris.com,1,0,0,/,http,0
1,1,www.lushmedia.co.uk,0,0,2,/,http,0
1,1,www.dav-productions.com,1,0,0,/,http,0
1,1,www.ccvideo.net,1,0,0,/,http,0
